"filename", "language", "XML", "C#", "C++", "HTML", "ASP.NET Razor", "JSON", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetSeat\GetSeatQuery.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetSeat\GetSeatQueryHandler.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetTicketByUid\GetTicketByUidQuery.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetTicketByUid\GetTicketByUidQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetTicketByUser\GetTicketByUserQuery.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetTicketByUser\GetTicketByUserQueryHandler.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetTicketsBySearchString\GetTicketsBySearchStringQuery.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetTicketsBySearchString\GetTicketsBySearchStringQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetUnavailableSeats\GetUnavailableSeatsQuery.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetUnavailableSeats\GetUnavailableSeatsQueryHandler.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetUpcomingMovies\GetUpcomingMoviesQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetUpcomingMovies\GetUpcomingMoviesQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
